2,2,115,0,1,99,19#
2,2,115,0,1,99,12#
2,2,115,0,1,23,38#
2,2,115,0,1,16,12#
2,2,114,0,1,4,11#
2,2,114,0,1,21,21#
2,2,114,0,1,15,28#
2,2,114,0,1,41,16#
2,2,114,0,1,96,14#
2,2,113,0,1,21,42#
2,2,113,0,1,46,39#
2,2,113,0,1,80,29#
2,2,112,0,1,86,31#
2,2,112,0,1,100,32#
2,2,112,0,1,92,6#
2,2,111,0,1,3,40#
2,2,111,0,1,35,32#
2,2,111,0,1,52,39#
2,2,111,0,1,101,32#
2,2,111,0,1,89,32#
2,2,110,0,1,1,40#
2,2,110,0,1,17,42#
2,2,110,0,1,33,31#
2,2,110,0,1,19,6#
1,1,211,0,1,4,13#
1,1,211,0,1,41,18#
1,1,211,0,1,96,13#
1,1,213,0,1,99,33#
1,1,213,0,1,81,30#
1,1,213,0,1,5,41#
1,1,214,0,1,2,41#
1,1,214,0,1,19,19#
1,1,214,0,1,82,30#
1,1,214,0,1,104,33#
1,1,212,0,1,100,18#
1,1,212,0,1,100,10#
1,1,212,0,1,24,37#
1,1,212,0,1,17,11#
1,1,210,0,1,0,41#
1,1,210,0,1,10,14#
1,1,209,0,1,9,14#
1,1,209,0,1,38,25#
1,1,215,0,1,39,25#
1,1,215,0,1,58,7#
1,1,215,0,1,55,6#
1,1,204,0,1,59,7#
2,2,109,0,0,36,32#
1,1,206,0,0,35,33#
2,2,108,0,0,45,35#
2,2,105,0,0,44,39#
2,2,105,0,0,53,39#
1,1,207,0,0,47,40#
1,1,202,0,0,52,40#
1,1,202,0,0,47,36#
1,1,203,0,0,45,38#
1,1,200,0,0,54,39#
1,1,206,0,0,86,24#
1,1,205,0,0,84,24#
